Original,Changes,,,,,,,,,,,,,,,,,,,,,,,
"The default race (no race) gives 0% bonus in Growth, Production, Science, Speed, Attack, Defense and the subsequent default Player Level increases spontaneously by 1.2% per day at the Daily Update.",k,,,,,,,,,,,,,,,,,,,,,,,
General Info,,,,,,,,,,,,,,,,,,,,,,,,
Help! I'm lost?,,,,,,,,,,,,,,,,,,,,,,,,
"So you want to play AstroWars? This guide is an introduction to the basics of the game, to help you survive the first days and understand how things work. You will see many words in gold, these are links to other pages offering more detail about that topic.",k,,,,,,,,,,,,,,,,,,,,,,,
Game Interface,,,,,,,,,,,,,,,,,,,,,,,,
"There are seven main screens in the interface, accessed from tabs located along the top of the page. These also lead to other screens used to perform specific tasks within each activity type. Collectively these make up your Control Panel.",k,,,,,,,,,,,,,,,,,,,,,,,
News screen,,,,,,,,,,,,,,,,,,,,,,,,
"When you log in, this is the first page you see. It shows your news alerts for the last seven days, presented five to each page, covering every activity which affects your game. For details of how this screen works, see the News Screen page.",k,,,,,,,,,,,,,,,,,,,,,,,
Map screen,,,,,,,,,,,,,,,,,,,,,,,,
"This displays all the star systems within your range of travel. Here you can view details of the owner, population and starbase level for all planets in each system shown. For details of how this screen works, see the Map Screen page.",k,,,,,,,,,,,,,,,,,,,,,,,
Planet screen,,,,,,,,,,,,,,,,,,,,,,,,
"This is where you manage your planets, and spend Production Points on buildings and ships. At the start of the game you should first buy Robotic Factory, to generate more production points at a faster rate. For more help, see Planets Screen.",k,,,,,,,,,,,,,,,,,,,,,,,
Science screen,,,,,,,,,,,,,,,,,,,,,,,,
"This screen manages your Research Lab. Research is important as it can give you better ships, more planets etc. You can only research one science at a time, but can change your selection at any time. For more help, see the Science Screen.",k,,,,,,,,,,,,,,,,,,,,,,,
Trade screen,,,,,,,,,,,,,,,,,,,,,,,,
"Once you reach player level 1 you can use this page to buy and sell Artifacts, Supply Units, and Production Points. You can also make Trade Agreements with other players to earn bonuses. For more details, see the main Trade Screen help.",k,,,,,,,,,,,,,,,,,,,,,,,
Alliance screen,,,,,,,,,,,,,,,,,,,,,,,,
"If you gain a certain level of dollars and Player Level 1, this appears in the interface. If you are an alliance member, this shows the development and activity of all your allies. More details on this can be found on the Alliance Screen page.",k,,,,,,,,,,,,,,,,,,,,,,,
Fleet screen,,,,,,,,,,,,,,,,,,,,,,,,
"Here you can control your fleet and launch attacks on other players. The screen shows the quantity and location of each ship type you own, and lists all your launched fleets with their arrival times. For more details, see the Fleet Screen page.",k,,,,,,,,,,,,,,,,,,,,,,,
Basic Activities,,,,,,,,,,,,,,,,,,,,,,,,
Planets,,,,,,,,,,,,,,,,,,,,,,,,
"You start the game with a planet. Each hour you can gain points which accumulate over time to increase your Production, Population, Science and Culture. To earn more points each hour you can build four types of Buildings: Hydroponic Farm, Robotic Factory, Galactic Cybernet and Research Lab. Each one helps you improve a different area of your development.",k,,,,,,,,,,,,,,,,,,,,,,,
Sciences,,,,,,,,,,,,,,,,,,,,,,,,
"As you increase your planet's buildings and production, you will also want to increase your science. Sciences are used to develop stronger fleets and defenses, see more of the map, and increase your Culture so you can colonize more planets.",k,,,,,,,,,,,,,,,,,,,,,,,
Map,,,,,,,,,,,,,,,,,,,,,,,,
If you click on Map and after that on the Star in the middle you can see your direct neighbors who share your Starsystem with you. By clicking on their names you can see details about them and how to contact them.,k,,,,,,,,,,,,,,,,,,,,,,,
Sending fleets,,,,,,,,,,,,,,,,,,,,,,,,
"As well as increasing your buildings, you can use your production points to buy ships to attack other players. Each war ship type has a different level of weapons and armor, but at the beginning you can only use Destroyers.",k,,,,,,,,,,,,,,,,,,,,,,,
Daily updates,,,,,,,,,,,,,,,,,,,,,,,,
"Various updates are applied to the game and your development each day. Updates to production points and new levels of development occur every fifteen minutes; scheduled game updates take place at 11:00 GMT, 23:00 GMT and 03:00 GMT.",every 5 minutes. different updates are at 24 12 6 hours,,,,,,,,,,,,,,,,,,,,,,,
"Note: during Daylight Saving Time, all scheduled updates occur one hour earlier than stated above. In this game, Daylight Saving Time begins on the last Sunday in March at 01:00 GMT and ends on the last Sunday in October at 02:00 GMT.",?,,,,,,,,,,,,,,,,,,,,,,,
Advanced Help,,,,,,,,,,,,,,,,,,,,,,,,
Building up,,,,,,,,,,,,,,,,,,,,,,,,
"As you earn production points, you can spend them on all your buildings or concentrate on a single building to increase its level. The higher level a building reaches, the more points it will produce each hour. Each building affects a different area of your development, but each level costs more to reach:",k,,,,,,,,,,,,,,,,,,,,,,,
Hydroponic Farm will increase your rate of population growth;,k,,,,,,,,,,,,,,,,,,,,,,,
Robotic Factory will increase your rate of production points;,k,,,,,,,,,,,,,,,,,,,,,,,
Galactic Cybernet will increase the rate of culture development;,k,,,,,,,,,,,,,,,,,,,,,,,
Research Lab will increase your rate of science development;,k,,,,,,,,,,,,,,,,,,,,,,,
Starbase will increase your level of planetary defenses.,k,,,,,,,,,,,,,,,,,,,,,,,
Read More: learn about the cost and value of levels in the Development Tables.,,,,,,,,,,,,,,,,,,,,,,,,
Using a race,,,,,,,,,,,,,,,,,,,,,,,,
"If you want to, you can make a race when you first log in to the game at the start of the round. Creating a race allows you to choose your strengths and weaknesses by taking bonuses or maluses in specific areas of your development.",k,,,,,,,,,,,,,,,,,,,,,,,
"You might choose to become a Trader or start with a level 12 Research Lab, or perhaps you wish to take a bonus in some area of your development. The areas you can choose are: Growth, Science, Culture, Production, Speed, Attack, Defense. Note: This is a very advanced feature intended for experienced players, as getting it wrong can spoil your game.",k,,,,,,,,,,,,,,,,,,,,,,,
Read More: learn about choosing a race by reading the Race article.,,,,,,,,,,,,,,,,,,,,,,,,
Expansion,,,,,,,,,,,,,,,,,,,,,,,,
"There are three ways of building up your empire, described below:",,,,,,,,,,,,,,,,,,,,,,,,
Pacifism,,,,,,,,,,,,,,,,,,,,,,,,
"This is the passive method, achieved by sending messages to all the players in your system offering them non-aggression pacts. You then only take over planets that are unclaimed (Free Planet), or have been abandoned (unknown), or that are owned by inactive players (still showing population level of 1 after a week of game play, or only 1 or 2 logins per day). The objective is to build an empire without antagonizing others as a means of self-preservation.",k,,,,,,,,,,,,,,,,,,,,,,,
Hostility,,,,,,,,,,,,,,,,,,,,,,,,
"This is the aggressive approach, by which you try to take over the planets of other players in your system as quickly as possible. As the strategy requires skill, timing and a good understanding of the races and attributes of others, it is not recommended for inexperienced or new players. The objective is to be aggressive, not seeking friends or alliances, caring only for the expansion of personal empire.",k,,,,,,,,,,,,,,,,,,,,,,,
Alliance,,,,,,,,,,,,,,,,,,,,,,,,
"The third and most popular method is a mixture of the first two. This is achieved by registering an alliance with *some* of the players around you, then taking over the ones who are weakest. The objective is to pursue the principle of survival of the fittest by working with those who are strong, to build an empire collectively.",k,,,,,,,,,,,,,,,,,,,,,,,
Diplomacy,,,,,,,,,,,,,,,,,,,,,,,,
"Diplomacy is the key to success in this game, and there are three types of basic diplomacy:",k,,,,,,,,,,,,,,,,,,,,,,,
Alliance,,,,,,,,,,,,,,,,,,,,,,,,
"Everything you do is for the alliance, if they are stronger it makes you stronger. You protect them, help out in need, just as the other members of your alliance do for you. To be able to win the round an alliance must have 5 or more members.","k, 3 members",,,,,,,,,,,,,,,,,,,,,,,
NAP,,,,,,,,,,,,,,,,,,,,,,,,
"With a NAP (Non Aggression Pact), you only mutually agree with other players and/or alliances not to destroy each other. Often it is a detailed written agreement, with sections covering the sharing of systems, how to end the NAP, relations with each other's friends and allies, aiding the enemies of the other NAP partners, etc.",k,,,,,,,,,,,,,,,,,,,,,,,
Coalition,,,,,,,,,,,,,,,,,,,,,,,,
"This falls between the other two. Coalition members exchange destroyers in friendly fire to increase Player Level, have a NAP, share information about battle plans, enemy races and locations, execute joint operations against common enemies.",k,,,,,,,,,,,,,,,,,,,,,,,
Research Lab,,,,,,,,,,,,,,,,,,,,,,,,
"Research Labs house state-of-the-art computer equipment, creating a superior research environment which increases your science output by one(1) each level.",k,,,,,,,,,,,,,,,,,,,,,,,
This increase in science output allows for greater levels of science to be reached in less time.,k,,,,,,,,,,,,,,,,,,,,,,,
A highly important building for the more scientific rulers.,k,,,,,,,,,,,,,,,,,,,,,,,
Galactic Cybernet,,,,,,,,,,,,,,,,,,,,,,,,
"Galactic Cybernets are important for interplanetary communications and management, and each new Galactic Cybernet will provide +1 Culture per hour.",k,,,,,,,,,,,,,,,,,,,,,,,
"Culture will increase faster with more Galactic Cybernets; therefore, your maximum number of planets will increase faster with more Galactic Cybernets, since you will be able to colonize sooner.",k,,,,,,,,,,,,,,,,,,,,,,,
Robotic Factory,,,,,,,,,,,,,,,,,,,,,,,,
Robotic factories increase the production output of a planet by one extra Production Point an hour per level.,k,,,,,,,,,,,,,,,,,,,,,,,
"Once level 20 is reached, it may appear Robotic Factories cannot be upgraded further, as ""N/A"" appears in the PP to next level column. This is not so, all buildings (Starbases included) are always upgradeable, due to the formula used to calculate the output levels ratio. ""N/A"" means it is more economical to upgrade using a Supply Unit than PPs.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"As Supply Units cannot be used on Starbases the PP value will always be shown for these, regardless of the level you attain.",k,,,,,,,,,,,,,,,,,,,,,,,
Hydroponic Farm,,,,,,,,,,,,,,,,,,,,,,,,
A Hydroponic Farm works on each planet helping you to create more of a surplus of food. The greater the food output the faster your Population will grow (up to the Population Limit - see Social Science).,k,,,,,,,,,,,,,,,,,,,,,,,
"More Hydroponic Farms let you reap the benefits of a higher population sooner. Each Hydroponic Farm will give you +1 food per hour! The more Hydroponic Farms you have, the faster you get food so Population increases.",k,,,,,,,,,,,,,,,,,,,,,,,
Hydroponic Farm,,,,,,,,,,,,,,,,,,,,,,,,
A Hydroponic Farm works on each planet helping you to create more of a surplus of food. The greater the food output the faster your Population will grow (up to the Population Limit - see Social Science).,k,,,,,,,,,,,,,,,,,,,,,,,
"More Hydroponic Farms let you reap the benefits of a higher population sooner. Each Hydroponic Farm will give you +1 food per hour! The more Hydroponic Farms you have, the faster you get food so Population increases.",k,,,,,,,,,,,,,,,,,,,,,,,
Buildings,,,,,,,,,,,,,,,,,,,,,,,,
"There are five kinds of buildings, as described below. The development of a building will improve its level, which in turn increases the benefit it provides.",k,,,,,,,,,,,,,,,,,,,,,,,
"Hydroponic Farm - increases your population growth. Each level adds +1 to the population's rate of growth/hour (that rate is the + figure next to the word ""Population"" at the top of the Planets Screen);",k,,,,,,,,,,,,,,,,,,,,,,,
"Robotic Factory - increases production growth. Each level adds +1 to a planet's production/hour, which increases the rate at which a player gains points to spend;",k,,,,,,,,,,,,,,,,,,,,,,,
Galactic Cybernet - increases culture growth. Each level adds +1 to the rate/hour by which culture grows in the Science Screen. Culture level is the maximum number of planets a player can own at any one time;,k,,,,,,,,,,,,,,,,,,,,,,,
Research Lab - increases science growth. Each level adds +1 to the rate of science research/hour at the top of the Science Screen;,k,,,,,,,,,,,,,,,,,,,,,,,
"Starbase - increases the planet's static defence. Each level raises the defence value of the starbase, making it more difficult to destroy.",k,,,,,,,,,,,,,,,,,,,,,,,
Production Points needed to improve,k,,,,,,,,,,,,,,,,,,,,,,,
a building from one level to the next.,,,,,,,,,,,,,,,,,,,,,,,,
Building,Production,,Building,Production,,,,,,,,,,,,,,,,,,,,
Level,Points,,Level,Points,,,,,,,,,,,,,,,,,,,,
1,5,,16,2189,,,,,,,,,,,,,,,,,,,,
2,8,,1700%,3284,,,,,,,,,,,,,,,,,,,,
3,11,,18,4926,,,,,,,,,,,,,,,,,,,,
4,17,,1900%,738900%,,,,,,,,,,,,,,,,,,,,
5,25,,20,11084,,,,,,,,,,,,,,,,,,,,
6,38,,21,16626,,,,,,,,,,,,,,,,,,,,
7,57,,22,24939,,,,,,,,,,,,,,,,,,,,
8,85,,23,37409,,,,,,,,,,,,,,,,,,,,
9,128,,24,56114,,,,,,,,,,,,,,,,,,,,
10,192,,25,84171,,,,,,,,,,,,,,,,,,,,
11,288,,26,126256,,,,,,,,,,,,,,,,,,,,
12,432,,27,189384,,,,,,,,,,,,,,,,,,,,
13,649,,28,284076,,,,,,,,,,,,,,,,,,,,
14,973,,29,426113,,,,,,,,,,,,,,,,,,,,
15,1460,,30,639170,,,,,,,,,,,,,,,,,,,,
Artifact,,,,,,,,,,,,,,,,,,,,,,,,
"An artifact gives a bonus to a specific area of development on all your planets. Artifacts you own appear in the Trade Screen, where they can be enabled or disabled at any time. They can be bought or sold, and can be randomly found by defeating an unknown planet. You can only use one artifact at a time but may own as many as you wish. Each type is made available for purchase at each Player Level update in the order shown in the table.",k,,,,,,,,,,,,,,,,,,,,,,,
Player,Artifact,   Culture   ,Science,Growth,Production,,,,,,,,,,,,,,,,,,,
Level,,,(SP),,(PP),,,,,,,,,,,,,,,,,,,
1,Basalt Monolith 1,10%,-,-,-,,,,,,,,,,,,,,,,,,,
2,Astrolabe 1,-,10%,-,-,,,,,,,,,,,,,,,,,,,
3,Celestial Prism 1,-,-,10%,-,,,,,,,,,,,,,,,,,,,
4,Crystal Rod 1,10%,-,10%,-,,,,,,,,,,,,,,,,,,,
5,Charcoal Diamond 1,-,-,-,10%,,,,,,,,,,,,,,,,,,,
6,Memory Jar 1,-,10%,-,10%,,,,,,,,,,,,,,,,,,,
7,Heart of Rana 1,10%,10%,10%,10%,,,,,,,,,,,,,,,,,,,
8,Basalt Monolith 2,20%,-,-,-,,,,,,,,,,,,,,,,,,,
9,Astrolabe 2,-,20%,-,-,,,,,,,,,,,,,,,,,,,
...,...,...,...,...,...,,,,,,,,,,,,,,,,,,,
21,Heart of Rana 3,30%,30%,30%,30%,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"At Player Level 8, new Artifacts available will be '(Artifact) 2' and give a 20% bonus, instead of the 10% bonus for '(Artifact) 1'.",k,,,,,,,,,,,,,,,,,,,,,,,
"At Player Level 15, the new Artifacts will be ""(Artifact) 3"" and worth a bonus of 30%.",k,,,,,,,,,,,,,,,,,,,,,,,
"Once Player Level 21 is achieved, no new Artifacts are available for purchase.",k,,,,,,,,,,,,,,,,,,,,,,,
Fleet,,,,,,,,,,,,,,,,,,,,,,,,
"A fleet of ships can be used to attack an opponent’s planet, or defend your own. A fleet can be made up of five types of ships, they are: Colony Ship, Transport, Destroyer, Cruiser and Battleship.",k,,,,,,,,,,,,,,,,,,,,,,,
Each fleet has a Combat Value (CV) based on it’s Combined attack and defense properties: A fleet consisting of 10 Destroyers and 1 Battleship would have a CV equal to 90. A fleet consisting of 10 Cruisers would have a CV equal to 240. Refer to each ship's properties for a more detailed description.,k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
Colony Ships and Transports have a CV equal to Zero as they have no attack / defense properties.,"CS and TR have 0CV, but have 2DEF",,,,,,,,,,,,,,,,,,,,,,,
"When buying many ships at once, you might not see them in your Fleet Screen. This is because the rounding in the game may display a total which is slightly more than the actual figure (the game uses decimals to many places). If this happens, simply spend one more PP on the last ship you bought and this should take it to the next complete ship.",?,,,,,,,,,,,,,,,,,,,,,,,
"If your Player Level is higher than from your opponent and your fleet contains at least one of each warship types (Destroyer, Cruiser, Battleship), you get 1% to your attack/defense bonus for each level your PL is higher. E.g. if your level is 40 and you fight against a level 18, you would get 22% to attack/defense. ",k,,,,,,,,,,,,,,,,,,,,,,,
Culture,,,,,,,,,,,,,,,,,,,,,,,,
"Only a strong culture can keep your interstellar society together. In general, the maximum number of planets you can own is equal to your level of culture.",k,,,,,,,,,,,,,,,,,,,,,,,
The table shows the points needed to reach each new level of culture.,,,,,,,,,,,,,,,,,,,,,,,,
"The amount of culture points per hour can be increased through Artifacts, Trade Agreements, Referrals and building higher levels of Galactic Cybernets.",k,,,,,,,,,,,,,,,,,,,,,,,
You can receive a bonus to culture from Referrals.,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Level,Points,,Level,Points,,Level,Points,,,,,,,,,,,,,,,,,
1,0,,11,10382,,21,46507,,,,,,,,,,,,,,,,,
2,318,,12,12547,,22,52310,,,,,,,,,,,,,,,,,
3,765,,13,14979,,23,58616,,,,,,,,,,,,,,,,,
4,1315,,14,17697,,24,65456,,,,,,,,,,,,,,,,,
5,2084,,15,20721,,25,72863,,,,,,,,,,,,,,,,,
6,2985,,16,24071,,26,,,,,,,,,,,,,,,,,,
7,4059,,17,27768,,27,,,,,,,,,,,,,,,,,,
8,5320,,18,31835,,28,,,,,,,,,,,,,,,,,,
9,6785,,19,36298,,29,,,,,,,,,,,,,,,,,,
10,8467,,20,41179,,30,,,,,,,,,,,,,,,,,,
Social Science,,,,,,,,,,,,,,,,,,,,,,,,
"This science increases the Population Limit, which is the highest population level you can have on each planet. If your Hydroponic Farms are not increasing your population (shows +0), then you will need to research more Social Science to add an extra level to your population limit, thus allowing your population to grow again.",k,,,,,,,,,,,,,,,,,,,,,,,
"At the 00:00 CET Daily Update, if any of your planets have a population six or more levels below your Social Science Level, one will randomly gain Spontaneous Growth, when that planet’s Population will instantly be increased by one level.",k,,,,,,,,,,,,,,,,,,,,,,,
Social Level,Population Limit,,Social Level,Population Limit,,,,,,,,,,,,,,,,,,,,
0,5,,16,16,,,,,,,,,,,,,,,,,,,,
2,6,,17,17,,,,,,,,,,,,,,,,,,,,
4,7,,18,18,,,,,,,,,,,,,,,,,,,,
6,8,,19,19,,,,,,,,,,,,,,,,,,,,
8,9,,20,20,,,,,,,,,,,,,,,,,,,,
10,10,,21,21,,,,,,,,,,,,,,,,,,,,
11,11,,22,22,,,,,,,,,,,,,,,,,,,,
12,12,,23,23,,,,,,,,,,,,,,,,,,,,
13,13,,24,24,,,,,,,,,,,,,,,,,,,,
14,14,,25,25,,,,,,,,,,,,,,,,,,,,
15,15,,26,26,,,,,,,,,,,,,,,,,,,,
Physics,,,,,,,,,,,,,,,,,,,,,,,,
"Research into the field of Physics allows your engineers to get a better understanding of particles, projectiles and energy traits allowing them to design and upgrade the weapons for your ships. This means that with each level the chance to win a battle is increased.",k,,,,,,,,,,,,,,,,,,,,,,,
"Due to the link between the computers on board all your ships and those located in your Research Labs, all ships are upgraded automatically and instantaneously whether in flight or stationary the second the next level is reached by your researchers.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"A Physics level six points higher than your opponent will give you a 25% bonus to attack against that player (25% increase in chance to win), this bonus is combined with any Race bonus already in effect.",k,,,,,,,,,,,,,,,,,,,,,,,
A Physics level of minimum 15 is required before you are able to build Battleships.,k,,,,,,,,,,,,,,,,,,,,,,,
Mathematics,,,,,,,,,,,,,,,,,,,,,,,,
"Multi-Criteria Optimization with millions of parameters, brings up a very effective combat modeling system which means that with a greater level of Mathematics, you should experience fewer losses in combat.",k,,,,,,,,,,,,,,,,,,,,,,,
"Due to the link between the computers on board all your ships and those in your Research Labs, all ships are upgraded automatically and instantaneously whether in flight or stationary the second the next level is reached by your researchers.",k,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"A Mathematics level of 12 is sufficient to let your people solve the sophisticated multi-dimensional hyperspace equations which are needed to slow down your ships to any Energy level of your choice, between level 1 and your maximum level.",k,,,,,,,,,,,,,,,,,,,,,,,
"A Mathematics level six points higher than that of an Attacking opponent will give you a 25% bonus towards defense (More Survivors), this bonus is added to any Race bonus you may have. The reverse is also true, if your Mathematics level is six points lower then your opponent you will have a –25% subtracted from your defense (Less Survivors). You also get a bonus (a malus) as much as you have a higher (a lower) level than your opponent, but it will be less than 25% and not mentioned in Battle Calculator, unless studying predicted battle results..",k,,,,,,,,,,,,,,,,,,,,,,,
A Mathematics level of minimum 15 is required before you are able to build Cruisers.,k,,,,,,,,,,,,,,,,,,,,,,,
Energy,,,,,,,,,,,,,,,,,,,,,,,,
"Increases the speed of your whole Fleet, so that travel time between planets and star systems is decreased.",k,,,,,,,,,,,,,,,,,,,,,,,
Energy Level Modifier,,,,,,,,,,,,,,,,,,,,,,,,
Energy Level 0 = 100% Travel Time,,,,,,,,,,,,,,,,,,,,,,,,
Energy,Travel,,Energy,Travel,,Energy,Travel,,,,,,,,,,,,,,,,,
Level,Time,,Level,Time,,Level,Time,,,,,,,,,,,,,,,,,
1,91.00%,,11,35.44%,,21,13.80%,,,,,,,,,,,,,,,,,
2,82.81%,,12,32.23%,,22,12.56%,,,,,,,,,,,,,,,,,
3,75.36%,,13,29.35%,,23,11.43%,,,,,,,,,,,,,,,,,
4,68.57%,,14,26.70%,,24,10.40%,,,,,,,,,,,,,,,,,
5,62.40%,,15,24.30%,,25,9.46%,,,,,,,,,,,,,,,,,
6,56.79%,,16,22.11%,,26,8.61%,,,,,,,,,,,,,,,,,
7,51.68%,,17,20.12%,,27,7.84%,,,,,,,,,,,,,,,,,
8,47.03%,,18,18.31%,,28,7.13%,,,,,,,,,,,,,,,,,
9,42.79%,,19,16.66%,,29,6.49%,,,,,,,,,,,,,,,,,
10,38.94%,,20,15.16%,,30,5.91%,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
"The travel time at each level is 91% of the time for the previous level. It is expressed as a percentage of the time needed to make the same flight at energy level 0, so a flight at energy level 1 is 91% of 100% = 91%, and level 2 is 91% of 91% = 82.81%, etc. as shown in the table opposite.",k,,,,,,,,,,,,,,,,,,,,,,,
"Upgrades given by this science only apply at launch time, so fleets already in transit will not benefit until they land and launch again.",k,,,,,,,,,,,,,,,,,,,,,,,
"If, when you launch, the destination planet is controlled by you, or another player in the same alliance, the flight time is always halved.",k,,,,,,,,,,,,,,,,,,,,,,,
The Race attribute Speed also affects the travel time of your Fleet.,k,,,,,,,,,,,,,,,,,,,,,,,
Economy,,,,,,,,,,,,,,,,,,,,,,,,
"Increasing the Economy Level will reduce the construction costs of Destroyers, Cruisers and Battleships.",k,,,,,,,,,,,,,,,,,,,,,,,
Economy,Production Points,,,,,,,,,,,,,,,,,,,,,,,
Level,Destroyer,Cruiser,Battleship,,,,,,,,,,,,,,,,,,,,,
0,30,240,600,,,,,,,,,,,,,,,,,,,,,
4,29,232,580,,,,,,,,,,,,,,,,,,,,,
7,28,224,560,,,,,,,,,,,,,,,,,,,,,
10,27,216,540,,,,,,,,,,,,,,,,,,,,,
14,26,208,520,,,,,,,,,,,,,,,,,,,,,
17,25,200,500,,,,,,,,,,,,,,,,,,,,,
20,24,192,480,,,,,,,,,,,,,,,,,,,,,
24,23,184,460,,,,,,,,,,,,,,,,,,,,,
27,22,176,440,,,,,,,,,,,,,,,,,,,,,
30,21,168,420,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
A Cruiser will always cost 8x that of a Destroyer and a Battleship will always cost 20x that of a Destroyer.,k,,,,,,,,,,,,,,,,,,,,,,,
There is an Economy Bonus of 5% available to the player who has the highest Economy science in the group of 50 that they joined with.,k,,,,,,,,,,,,,,,,,,,,,,,
Biology,,,,,,,,,,,,,,,,,,,,,,,,
"Biological Scanners and Autonomic Biosystems are the main fields of research. It increases your range of vision on the Map Screen, allowing you to see other neighboring systems, the planets present, their ownership, Population level and Starbase level.",k,,,,,,,,,,,,,,,,,,,,,,,
"With every level of Biology you are able to see an additional 'squares' distance on the map from your original star system. As your fleets can travel to any Star System you can see on the Map Screen, increasing your Biological Science increases the distances your fleets can travel.",k,,,,,,,,,,,,,,,,,,,,,,,
Autonomic Biosystems,,,,,,,,,,,,,,,,,,,,,,,,
"Once you reach level 25, you will have developed your Autonomic Biosystems far enough to send fleets to any location in the galaxy by using the System ID of the target system, instead of its name.",k,,,,,,,,,,,,,,,,,,,,,,,
Intelligence Reports,,,,,,,,,,,,,,,,,,,,,,,,
"If your Biology level is six or more levels higher than another player within your field of vision, and you can see their home system, you will be able to obtain an Intelligence Report on that player, revealing all Science levels attained by that player, as well as their Race information. This makes researching Biology a valuable expenditure of time, contributing to Reconnaissance.",k,,,,,,,,,,,,,,,,,,,,,,,
Biology Level,Range of Vision,,"this is different now, 1 bio 1 vision range",,,,,,,,,,,,,,,,,,,,,
2,1,,,,,,,,,,,,,,,,,,,,,,,
4,2,,,,,,,,,,,,,,,,,,,,,,,
6,3,,,,,,,,,,,,,,,,,,,,,,,
8,4,,,,,,,,,,,,,,,,,,,,,,,
10,5,,,,,,,,,,,,,,,,,,,,,,,
12,6,,,,,,,,,,,,,,,,,,,,,,,
14,7,,,,,,,,,,,,,,,,,,,,,,,
16,8,,,,,,,,,,,,,,,,,,,,,,,
18,9,,,,,,,,,,,,,,,,,,,,,,,
20,10,,,,,,,,,,,,,,,,,,,,,,,
...,...,,,,,,,,,,,,,,,,,,,,,,,
Science Fields,,,,,,,,,,,,,,,,,,,,,,,,
"There are six fields of science you can research; you must decide whether to focus on one field in particular, or try to achieve a balance in all the fields:",k,,,,,,,,,,,,,,,,,,,,,,,
Biology: expands the view of the star map and range of travel,k,,,,,,,,,,,,,,,,,,,,,,,
"Economy: reduces the cost of destroyers, cruisers and battleships",k,,,,,,,,,,,,,,,,,,,,,,,
Energy: increases speed which reduces fleet travel times,k,,,,,,,,,,,,,,,,,,,,,,,
Mathematics: increases the number of survivors after winning a battle,k,,,,,,,,,,,,,,,,,,,,,,,
Physics: increases the chances to win a battle,k,,,,,,,,,,,,,,,,,,,,,,,
Social: increases the maximum population that can exist on a planet,k,,,,,,,,,,,,,,,,,,,,,,,
Science Level,Points needed,,,,,,,,,,,,,,,,,,,,,,,
1,29,,,,,,,,,,,,,,,,,,,,,,,
2,74,,,,,,,,,,,,,,,,,,,,,,,
3,138,,,,,,,,,,,,,,,,,,,,,,,
4,221,,,,,,,,,,,,,,,,,,,,,,,
5,325,,,,,,,,,,,,,,,,,,,,,,,
6,451,,,,,,,,,,,,,,,,,,,,,,,
7,603,,,,,,,,,,,,,,,,,,,,,,,
8,780,,,,,,,,,,,,,,,,,,,,,,,
9,986,,,,,,,,,,,,,,,,,,,,,,,
10,1223,,,,,,,,,,,,,,,,,,,,,,,
11,1492,,,,,,,,,,,,,,,,,,,,,,,
12,1796,,,,,,,,,,,,,,,,,,,,,,,
13,2138,,,,,,,,,,,,,,,,,,,,,,,
14,2520,,,,,,,,,,,,,,,,,,,,,,,
15,2945,,,,,,,,,,,,,,,,,,,,,,,
16,3415,,,,,,,,,,,,,,,,,,,,,,,
17,3934,,,,,,,,,,,,,,,,,,,,,,,
...,...,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,
You can only use your research labs to research one field at a time. Some sciences incur an additional bonus once certain levels are reached. Read up on each science to find out what these are.,k,,,,,,,,,,,,,,,,,,,,,,,
Population,,,,,,,,,,,,,,,,,,,,,,,,
"For population to increase you need a certain amount of food to sustain the next level (see Hydroponic Farms), and must be advanced enough in the field of Social Science to accommodate the extra population.",k,,,,,,,,,,,,,,,,,,,,,,,
Every level of population will give you the following:,,Growth needed to reach the next level,,,,,,,,,,,,,,,,,,,,,,
+1 Production point per hour,k,Level,Growth,,Level,Growth,,Level,Growth,,,,,,,,,,,,,,,
+1 Science point per hour,k,1,0,,11,993,,21,3783,,,,,,,,,,,,,,,
"Additionally, a planet with a population of 10 or more gives 1% bonus to your Trade Agreement partners.",k,2,21,,12,1191,,22,4161,,,,,,,,,,,,,,,
Your planet's population may also undergo spontaneous growth if your Social Science is six levels above that of the planet's population.,k,3,57,,13,1407,,23,4557,,,,,,,,,,,,,,,
"Table example: to reach level 2 from level 1 requires 21 points, to reach level 3 from level 2 requires 57 points. So to develop from level 1 to level 3 requires 21 + 57 = 78 points. Population is never below level 1, even if attacked.",k,4,111,,14,1641,,24,4971,,,,,,,,,,,,,,,
,,5,183,,15,1893,,25,5403,,,,,,,,,,,,,,,
